"codigo","ponto_monitoramento","pH","oxigenio_dissolvido","dbo","fosforo_total","escherichia_coli","nitrogenio_amoniacal","nitrogenio_kjeldahl","nitrogenio_total","turbidez","temperatura_agua","solidos_totais","condutividade","ano_coleta"
"87398500","PM1",6.74,7,4,NA,NA,NA,NA,NA,NA,21,NA,100,1992
"87398900","PM3",6.48,6.9,2,NA,NA,NA,NA,NA,NA,21.5,NA,70,1992
"87398950","PM4",6.69,6.8,1,NA,NA,NA,NA,NA,NA,21,NA,75,1992
"87405500","PM5",6.19,2.4,4,NA,NA,NA,2,2,NA,22,NA,115,1992
"87409900","PM7",6.18,0.38,9,NA,NA,NA,NA,NA,NA,21,NA,170,1992
"87398500","PM1",6.8,9.1,2,NA,176,NA,NA,NA,NA,15,114,76,1992
"87398900","PM3",6,6.9,1,NA,104,NA,NA,NA,NA,17,474,40,1992
"87398950","PM4",8.1,7.9,1,NA,240,NA,NA,NA,NA,16,76,42,1992
"87405500","PM5",6.18,6.7,2,NA,7.2,NA,NA,NA,NA,15,93,34,1992
"87409900","PM7",6.2,5.1,4,NA,56,NA,NA,NA,NA,16,94,68,1992
"87398500","PM1",7.23,9.1,1,0.14,19200,NA,NA,NA,NA,11,94,40,1992
"87398900","PM3",6.64,9.5,1,0.12,1760,NA,NA,NA,NA,11,97,30,1992
"87398950","PM4",6.82,9.3,1,0.14,10400,NA,NA,NA,NA,12,93,28,1992
"87405500","PM5",6.7,8.3,1,0.16,10400,NA,NA,NA,NA,12.5,123,35,1992
"87409900","PM7",6.2,7.8,2,0.26,18.4,NA,NA,NA,NA,12.5,144,45,1992
"87398500","PM1",6.58,NA,1,0.09,192,NA,NA,NA,NA,13,85,40,1992
"87398900","PM3",6.8,10.3,1,0.05,64,NA,NA,NA,NA,14,70,30,1992
"87398950","PM4",6.2,10.3,1,0.06,240,NA,NA,NA,NA,13.5,81,30,1992
"87405500","PM5",6.58,9.4,2,0.11,2.4,NA,NA,NA,NA,13,91,40,1992
"87409900","PM7",6.37,8.8,3,0.21,24,NA,NA,NA,NA,13,105,50,1992
"87398500","PM1",7.02,7.02,2.4,0.046,240,NA,NA,NA,NA,19,118,85,1992
"87398900","PM3",6.63,8.02,1,0.002,40,NA,NA,NA,NA,21,96,60,1992
"87398950","PM4",6.47,7.06,1,0.048,2.4,NA,NA,NA,NA,19,106,50,1992
"87405500","PM5",6.77,6,1.8,0.079,40,NA,NA,NA,NA,19,116,60,1992
"87409900","PM7",6.19,4.8,3.8,0.15,104,NA,NA,NA,NA,20,120,80,1992
"87398500","PM1",6.93,8.8,3,NA,192,NA,NA,NA,NA,18,92,50,1992
"87398900","PM3",6,7.6,4,NA,40,NA,NA,NA,NA,20,84,40,1992
"87398950","PM4",6.47,6.8,1,NA,560,NA,NA,NA,NA,20,86,40,1992
"87405500","PM5",6,6.8,3,NA,8.8,NA,NA,NA,NA,20,101,55,1992
"87409900","PM7",6.4,4.4,3,NA,64,NA,NA,NA,NA,20,104,70,1992
"87398500","PM1",6.34,7.01,3,0.083,240,NA,NA,NA,NA,16,115,50,1992
"87398900","PM3",6.09,7.2,2,0.074,1760,NA,NA,NA,NA,21.5,150,49,1992
"87398950","PM4",6.26,6.02,2,0.056,4,NA,NA,NA,NA,20,107,50,1992
"87405500","PM5",6.34,2.9,3,0.171,18.4,NA,NA,NA,NA,22,127,105,1992
"87409900","PM7",6.26,2.5,5,0.181,18.4,NA,NA,NA,NA,20,142,120,1992
"87398500","PM1",6.67,4.9,3,0.046,40,NA,NA,NA,26,24,107,55,1992
"87398900","PM3",6.2,5.93,2,0.059,2080,NA,NA,NA,21,26,142,64,1992
"87398900","PM3",6.03,5.93,2,0.059,40,NA,NA,NA,NA,NA,142,63,1992
"87398950","PM4",5.99,4.3,2,0.054,560,NA,NA,NA,11,26,99,62,1992
"87405500","PM5",8.07,13.07,21,0.47,12.8,NA,NA,NA,8.6,30,178,196,1992
"87409900","PM7",6.68,2.9,10,1.53,12.8,NA,NA,NA,14,28,214,230,1992
"87398500","PM1",5.9,5.1,3,0.01,136,NA,NA,NA,7.1,28,73,150,1993
"87398900","PM3",6.3,5.7,3,0.018,88,NA,NA,NA,15,30,94,100,1993
"87398950","PM4",6.4,5.7,1,0.02,12.8,NA,NA,NA,20,27,101,110,1993
"87405500","PM5",6.3,3.7,5,0.354,12.8,NA,NA,NA,12,30,160,200,1993
"87409900","PM7",6.9,10.6,17,NA,12.8,NA,NA,NA,12,30,104,400,1993
