CODIGO	MUNICIPIO	ENDERECO	COORD_GEO_LAT_GRAU	COORD_GEO_LONG_GRAU	Altitude	RECURSO_HIDRICO	DATA_COLETA	ANO_COLETA	Alcalinidade	Condutividade	DBO	IQA_DBO	DQO	Escherichia coli	Fosfato orto	Fósforo total	IQA_Ptot	Nitrato	Nitrito	Nitrogênio orgânico	Nitrogênio amoniacal	Nitrogênio Kjeldahl	Nitrogênio total	IQA_NitroTot	Oxigênio dissolvido	%sat OD	IQA_OD	pH	IQA_pH	SDT	SST	Temperatura água	Temperatura ar	Transparência água	Turbidez	IQA_Turb	Vazao rio	Vazao	Coliformes termotol	IQA_coli	Sólidos totais	IQA_Sól_Tot	IQA_^OD	IQA_^temp_agua	IQA_^coli	IQA_^pH	IQA_^DBO	IQA_^NitroTot	IQA_^Ptot	IQA_^Turb	IQA_^Sól_Tot	IQA	latitude_corrigida	longitude_corrigida
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	12/05/1992	1992		170,00	9,000	35,36	129					46.000							0,380	4,236	4,59	6,18	68,81			21,00											1,296	1,580		1,662	1,246					0,000	-29,967144	-51,1840353
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	09/07/1992	1992		35,00	1,000	88,37	67	10400,00		0,160	63,73	8.900							8,300	77,362	83,82	6,70	85,42			12,50							13000,00	8,02	123	83,71	2,123	1,580	1,366	1,705	1,000		1,515		1,425	0,000	-29,9505453	-51,1173349
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	05/11/1992	1992		49,00	2,000	78,12	38	1760,00		0,074	81,26	7.300							7,200	81,072	87,02	6,09	64,46			21,50							2200,00	15,96	150	80,17	2,137	1,580	1,515	1,649	1,072		1,552		1,420	0,000	-29,9507487	-50,9341363
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	05/11/1992	1992		50,00	3,000	69,06	42	240,00		0,083	79,12	6.300							7,010	70,516	75,82	6,34	74,99			16,00							300,00	29,99	115	84,45	2,087	1,580	1,665	1,679	1,116		1,548		1,426	0,000	-29,9338548	-50,6005399
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	09/07/1992	1992		28,00	1,000	88,37	55	10400,00		0,140	67,41	6.200							9,300	85,691	89,97	6,82	88,14			12,00							13000,00	8,02	93	85,78	2,149	1,580	1,366	1,712	1,000		1,524		1,428	0,000	-29,9505472	-51,0006352
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	05/11/1992	1992		120,00	5,000	53,97	40	18,40		0,181	60,08	6.000							2,500	27,324	18,61	6,26	72,22			20,00		20					23,00	56,03	142	81,38	1,644	1,580	1,829	1,671	1,175		1,506		1,422	0,000	-29,967144	-51,1840353
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	09/07/1992	1992		45,00	2,000	78,12	67	18,40		0,260	48,12	5.800							7,800	72,676	78,60	6,20	69,80			12,50							23,00	56,03	144	81,09	2,100	1,580	1,829	1,664	1,072		1,473		1,421	0,000	-29,967144	-51,1840353
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	09/07/1992	1992		30,00	1,000	88,37	59	1760,00		0,120	71,31	5.100							9,500	85,548	89,87	6,64	83,91			11,00							2200,00	15,96	97	85,62	2,148	1,580	1,515	1,702	1,000		1,532		1,428	0,000	-29,9507487	-50,9341363
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	12/05/1992	1992		70,00	2,000	78,12	76					4.500							6,900	77,694	84,14	6,48	79,45			21,50											2,124	1,580		1,690	1,072					0,000	-29,9507487	-50,9341363
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	09/07/1992	1992		40,00	1,000	88,37	63	19200,00		0,140	67,41	4.300							9,100	81,879	87,59	7,23	92,44			11,00							24000,00	6,27	94	85,74	2,139	1,580	1,317	1,721	1,000		1,524		1,428	0,000	-29,9338548	-50,6005399
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	05/11/1992	1992		50,00	2,000	78,12	42	4,00		0,056	85,38	4.200							6,020	65,811	69,06	6,26	72,22			20,00							5,00	76,58	107	85,06	2,054	1,580	1,917	1,671	1,072		1,560		1,427	0,000	-29,9505472	-51,0006352
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	06/08/1992	1992		40,00	2,000	78,12	56	2,40		0,110	73,34	4.100							9,400	88,610	92,05	6,58	82,31			13,00							3,00	84,02	91	85,85	2,157	1,580	1,944	1,698	1,072		1,537		1,428	0,000	-29,9505453	-51,1173349
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	12/05/1992	1992		75,00	1,000	88,37	145					3.900							6,800	75,818	82,24	6,69	85,17			21,00											2,116	1,580		1,705	1,000					0,000	-29,9505472	-51,0006352
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	06/08/1992	1992		40,00	1,000	88,37	60	192,00		0,090	77,58	3.600										6,58	82,31			13,00							240,00	31,89	85	86,00		1,580	1,681	1,698	1,000		1,545		1,428	0,000	-29,9338548	-50,6005399
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	09/12/1992	1992		55,00	3,000	69,06	43	40,00		0,046	87,79	3.400							4,900	57,805	55,94	6,67	84,67			24,00			26,00	55,75			50,00	47,21	107	85,06	1,982	1,580	1,783	1,703	1,116		1,564	1,379	1,427	0,000	-29,9338548	-50,6005399
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	06/08/1992	1992		30,00	1,000	88,37	60	240,00		0,060	84,40	3.300							10,300	98,176	98,72	6,20	69,80			13,50							300,00	29,99	81	86,06	2,183	1,580	1,665	1,664	1,000		1,558		1,428	0,000	-29,9505472	-51,0006352
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	06/08/1992	1992		50,00	3,000	69,06	60	24,00		0,210	55,38	3.200							8,800	82,924	88,26	6,37	75,99			13,00							30,00	52,92	105	85,18	2,142	1,580	1,814	1,681	1,116		1,494		1,427	0,000	-29,967144	-51,1840353
